class,name
javax.swing.JLabel,jLabelS
javax.swing.JLabel,jLabelQ
javax.swing.JButton,jButton1
org.seasar.golf.component.LongField,longField1
javax.swing.JScrollPane,jScrollPane2
org.seasar.golf.component.DoubleField,doubleField1
javax.swing.JLabel,jLabelI
javax.swing.JScrollPane,jScrollPane1
javax.swing.JTable,jTable1
javax.swing.JLabel,jLabelD
javax.swing.JLabel,jLabelDBL
javax.swing.JTextField,jTextField4
javax.swing.JTextField,jTextField2
javax.swing.JLabel,jLabel7
javax.swing.JTextField,jTextField1
javax.swing.JLabel,jLabel6
javax.swing.JLabel,jLabel4
javax.swing.JLabel,jLabel2
javax.swing.JLabel,jLabel1
