class,name
javax.swing.JLabel,jLabel8
javax.swing.JLabel,jLabelHeader
javax.swing.JButton,jButtonEnter1
javax.swing.JButton,jButtonCancel
javax.swing.JScrollPane,jScrollPane1
javax.swing.JPanel,jPanel4
javax.swing.JLabel,jLabel1
javax.swing.JLabel,jLabel3
javax.swing.JPanel,jPanel3
javax.swing.JPanel,jPanel1
javax.swing.JLabel,jLabel2
javax.swing.JButton,jButtonEnter
javax.swing.JPanel,jPanel2
javax.swing.JTextField,jTextShort
javax.swing.JPanel,jPanel5
javax.swing.JScrollPane,jScrollPane2
javax.swing.JTable,jTable1
javax.swing.JButton,jButtonSearch
