class,name
javax.swing.JLabel,jLabel8
javax.swing.JLabel,jLabel4
javax.swing.JPanel,jPanel4
javax.swing.JScrollPane,jScrollPane1
javax.swing.JLabel,jLabel1
javax.swing.JLabel,jLabel3
javax.swing.JPanel,jPanel3
javax.swing.JLabel,jLabel2
javax.swing.JPanel,jPanel2
javax.swing.JPanel,jPanel5
javax.swing.JLabel,jLabel9
javax.swing.JScrollPane,jScrollPane2
javax.swing.JLabel,jLabelHeader
javax.swing.JPanel,ContentPane
javax.swing.JLabel,jLabel11
javax.swing.JLabel,jLabel7
javax.swing.JTextArea,jTextArea1
javax.swing.JPanel,jPanel1
javax.swing.JLabel,jLabel6
javax.swing.JLabel,jLabelFooter
javax.swing.JMenu,jMenu1
javax.swing.JTextField,jTextField1
javax.swing.JTree,jTree1
javax.swing.JLabel,jLabel10
javax.swing.JLabel,jLabel5
javax.swing.JMenuBar,jMenuBar1
