class,name
javax.swing.JLabel,jLabel4
javax.swing.JLabel,jLabel8
javax.swing.JTextField,jTextCat
javax.swing.JMenuItem,jMenuCreate
javax.swing.JLabel,jLabel12
javax.swing.JTextField,jTextTel
javax.swing.JScrollPane,jScrollPane1
javax.swing.JButton,jB_Delete
javax.swing.JButton,jB_Save
javax.swing.JLabel,jLabel1
javax.swing.JTextField,jTextVersion
javax.swing.JLabel,jLabel13
javax.swing.JLabel,jLabel3
javax.swing.JMenu,jMenu2
javax.swing.JPanel,jPanel3
javax.swing.JTextField,jTextAction
javax.swing.JMenuItem,jMenuUpdate
javax.swing.JLabel,jLabel2
javax.swing.JButton,jB_Back
javax.swing.JButton,jB_Delete1
javax.swing.JLabel,jLabel14
javax.swing.JPanel,toolBar
javax.swing.JPanel,jPanel2
javax.swing.JButton,jB_Save1
javax.swing.JScrollPane,jScrollPane2
javax.swing.JLabel,jLabel9
javax.swing.JLabel,jLabelHeader
javax.swing.JPanel,contentPane
javax.swing.JMenuItem,jMenuDisplay
javax.swing.JLabel,jLabel7
javax.swing.JTextArea,jTextArea1
javax.swing.JTextField,jTextName
javax.swing.JPanel,jPanel1
javax.swing.JButton,jB_Enter
javax.swing.JLabel,jLabel6
javax.swing.JButton,jB_Menu
javax.swing.JLabel,jLabelFooter
javax.swing.JMenu,jMenu1
javax.swing.JButton,jB_NewWindow
javax.swing.JTextField,jTextShort
javax.swing.JTextField,jTextCcode
javax.swing.JLabel,jLabel10
javax.swing.JMenuBar,jMenuBar1
javax.swing.JLabel,jLabel5
