class,name
javax.swing.JLabel,jLabel8
javax.swing.JButton,jButton2
javax.swing.JMenuItem,jMenuCreate
javax.swing.JScrollPane,jScrollPane1
javax.swing.JButton,jB_Save
javax.swing.JMenu,jMenu2
javax.swing.JPanel,jPanel3
javax.swing.JMenuItem,jMenuUpdate
javax.swing.JTextField,jTextAction
javax.swing.JLabel,jLabel2
javax.swing.JButton,jB_Back
javax.swing.JButton,jButton1
javax.swing.JPanel,toolBar
javax.swing.JLabel,jLabelHeader
javax.swing.JPanel,contentPane
javax.swing.JMenuItem,jMenuDisplay
javax.swing.JPanel,jPanel1
javax.swing.JButton,jB_Enter
javax.swing.JLabel,jLabel6
javax.swing.JLabel,jLabelFooter
javax.swing.JButton,jB_Menu
javax.swing.JMenu,jMenu1
javax.swing.JButton,jB_NewWindow
javax.swing.JTextField,jTextCcode
javax.swing.JLabel,jLabelCopyFrom
javax.swing.JMenuBar,jMenuBar1
