class,name
javax.swing.JLabel,jLabel4
javax.swing.JPanel,contentPane
javax.swing.JScrollPane,jScrollPane1
javax.swing.JButton,jB_Save
javax.swing.JLabel,jLabel1
javax.swing.JLabel,jLabel3
javax.swing.JTextField,jTextName
javax.swing.JTextField,jTextAction
javax.swing.JButton,jB_Enter
javax.swing.JLabel,jLabel2
javax.swing.JButton,jB_Back
javax.swing.JButton,jB_Menu
javax.swing.JMenu,jMenu1
javax.swing.JPanel,toolBar
javax.swing.JButton,jB_NewWindow
javax.swing.JTextField,jTextShort
javax.swing.JTextField,jTextCode
javax.swing.JMenuBar,jMenuBar1
