class,name
javax.swing.JLabel,jLabelHeader
javax.swing.JTextField,jTextCat
javax.swing.JPanel,contentPane
javax.swing.JScrollPane,jScrollPane1
javax.swing.JButton,jB_Save
javax.swing.JLabel,jLabel1
javax.swing.JPanel,jPanel3
javax.swing.JTextField,jTextAction
javax.swing.JPanel,jPanel1
javax.swing.JButton,jB_Enter
javax.swing.JLabel,jLabel2
javax.swing.JButton,jB_Back
javax.swing.JButton,jB_Menu
javax.swing.JLabel,jLabelFooter
javax.swing.JMenu,jMenu1
javax.swing.JPanel,toolBar
javax.swing.JButton,jB_NewWindow
javax.swing.JScrollPane,jScrollPane2
javax.swing.JTable,jTable1
javax.swing.JMenuBar,jMenuBar1
